query,type,dataset,datasetURL,metaData,spec
Is there a correlation between acceleration and horsepower?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'point', 'filled': True, 'opacity': 0.7, 'tooltip': None}, 'encoding': {'x': {'field': 'Horsepower', 'type': 'quantitative'}, 'y': {'field': 'Acceleration', 'type': 'quantitative'}}}"
How many heavy cars are in the dataset?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'bin': True, 'field': 'Weight', 'type': 'quantitative', 'axis': {'title': 'Weight'}}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'axis': {'title': 'COUNT'}}}}"
Count by origin,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Origin', 'type': 'nominal', 'sort': {'encoding': 'y', 'order': 'descending'}}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'axis': {'title': 'COUNT'}}}}"
show me imdb rating versus rotten tomatoes rating,Under specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'point', 'filled': True, 'opacity': 0.5, 'tooltip': None}, 'encoding': {'x': {'field': 'IMDB Rating', 'type': 'quantitative'}, 'y': {'field': 'Rotten Tomatoes Rating', 'type': 'quantitative'}}}"
give me a scatterplot of imdb rating as x axis and rotten tomatoes rating as y axis,Fully specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'point', 'filled': True, 'opacity': 0.5, 'tooltip': None}, 'encoding': {'x': {'field': 'IMDB Rating', 'type': 'quantitative'}, 'y': {'field': 'Rotten Tomatoes Rating', 'type': 'quantitative'}}}"
plot worldwide gross over release year split by genre,Under specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'line', 'tooltip': None}, 'encoding': {'x': {'timeUnit': 'year', 'field': 'Release Year', 'type': 'temporal', 'axis': {'title': 'Release Year'}}, 'y': {'aggregate': 'sum', 'field': 'Worldwide Gross', 'type': 'quantitative', 'axis': {'title': 'SUM (Worldwide Gross)', 'format': '~s'}}, 'color': {'field': 'Major Genre', 'type': 'nominal'}}}"
Are there any American 5 cylinder cars?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Cylinders', 'type': 'ordinal'}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'axis': {'title': 'COUNT', 'format': '~s'}}, 'color': {'field': 'Origin', 'type': 'nominal'}}}"
How does displacement relate to fuel economy for cars from Europe v. USA?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'point', 'filled': True, 'opacity': 0.8, 'tooltip': None}, 'encoding': {'x': {'field': 'Displacement', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'MPG', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'color': {'field': 'Origin', 'type': 'nominal'}}}"
histogram for creative type,Fully specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Creative Type', 'type': 'nominal', 'sort': {'encoding': 'y', 'order': 'descending'}}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'axis': {'title': 'COUNT'}}}}"
give me scatterplots of worldwide gross versus production budget by different content ratings,Fully specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'point', 'filled': True, 'tooltip': None}, 'encoding': {'column': {'field': 'Content Rating', 'type': 'nominal'}, 'x': {'field': 'Production Budget', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'Worldwide Gross', 'type': 'quantitative', 'axis': {'format': '~s'}}}}"
Which cylinder cars have the highest fuel economy?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Cylinders', 'type': 'nominal'}, 'y': {'aggregate': 'mean', 'field': 'MPG', 'type': 'quantitative', 'axis': {'title': 'AVG (MPG)', 'format': '~s'}}}}"
plot average worldwide growth over major genre,Under specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Major Genre', 'type': 'nominal'}, 'y': {'aggregate': 'mean', 'field': 'Worldwide Gross', 'type': 'quantitative', 'axis': {'title': 'AVG (Worldwide Gross)', 'format': '~s'}}}}"
Acceleration by weight scatterplot per origin,Fully specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'point', 'filled': True, 'tooltip': None}, 'encoding': {'column': {'field': 'Origin', 'type': 'nominal'}, 'x': {'field': 'Weight', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'Acceleration', 'type': 'quantitative', 'axis': {'format': '~s'}}}}"
Acceleration by weight scatterplot facet by origin,Fully specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'point', 'filled': True, 'tooltip': None}, 'encoding': {'column': {'field': 'Origin', 'type': 'nominal'}, 'x': {'field': 'Weight', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'Acceleration', 'type': 'quantitative', 'axis': {'format': '~s'}}}}"
"For each origin, acceleration by weight scatterplot",Fully specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'point', 'filled': True, 'tooltip': None}, 'encoding': {'column': {'field': 'Origin', 'type': 'nominal'}, 'x': {'field': 'Weight', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'Acceleration', 'type': 'quantitative', 'axis': {'format': '~s'}}}}"
Which countries have the most cars in this dataset?,Under specified,cars,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv,"{fields: [{field: Model, type: nominal}, {field: MPG, type: quantitative}, {field: Cylinders, type: quantitative}, {field: Displacement, type: quantitative}, {field: Horsepower, type: quantitative}, {field: Weight, type: quantitative}, {field: Acceleration, type: quantitative}, {field: Year, type: quantitative}, {field: Origin, type: nominal}], primaryKey: [Model, Year]}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/cars.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Origin', 'type': 'nominal', 'sort': {'encoding': 'y', 'order': 'descending'}}, 'y': {'aggregate': 'count', 'type': 'quantitative', 'axis': {'title': 'COUNT'}}}}"
"Show the total worldwide gross by category of film, broken down by movie rating.",Under specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'bar', 'tooltip': None}, 'encoding': {'x': {'field': 'Major Genre', 'type': 'ordinal'}, 'y': {'aggregate': 'sum', 'field': 'Worldwide Gross', 'type': 'quantitative', 'axis': {'title': 'SUM (Worldwide Gross)', 'format': '~s'}}, 'color': {'field': 'Content Rating', 'type': 'nominal'}}}"
show me production budget against worldwide gross split by content rating,Under specified,movies,https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv,"{fields: [{field: Title, type: nominal}, {field: Worldwide Gross, type: quantitative}, {field: Production Budget, type: quantitative}, {field: Release Year, type: quantitative}, {field: Content Rating, type: nominal}, {field: Running Time, type: quantitative}, {field: Major Genre, type: nominal}, {field: Creative Type, type: nominal}, {field: Rotten Tomatoes Rating, type: quantitative}, {field: IMDB Rating, type: quantitative}], primaryKey: Title}","{'$schema': 'https://vega.github.io/schema/vega-lite/v4.17.0.json', 'data': {'url': 'https://raw.githubusercontent.com/nlvcorpus/nlvcorpus.github.io/main/datasets/movies.csv'}, 'mark': {'type': 'point', 'filled': True, 'tooltip': None}, 'encoding': {'column': {'field': 'Content Rating', 'type': 'nominal'}, 'x': {'field': 'Production Budget', 'type': 'quantitative', 'axis': {'format': '~s'}}, 'y': {'field': 'Worldwide Gross', 'type': 'quantitative', 'axis': {'format': '~s'}}}}"
